County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Addison County,5,0,6281,21
Bennington County,7,0,10935,73
Caledonia County,2,0,6139,30
Chittenden County,17,0,36560,182
Essex County,0,0,1350,3
Franklin County,3,0,10649,68
Grand Isle County,1,0,1184,6
Lamoille County,2,0,4098,17
Orange County,3,0,4670,14
Orleans County,1,0,6911,38
Rutland County,10,0,14713,78
Washington County,4,0,13140,55
Windham County,6,0,7615,40
Windsor County,12,0,10386,59
