County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Hawaii County,74,0,35179,200
Honolulu County,424,1,220217,1141
Kalawao County,0,0,0,0
Kauai County,31,0,16082,35
Maui County,73,0,38083,147
